X_0_0,X_0_1,X_0_2,X_0_3,Y_0_0,Y_0_1,Y_0_2,Y_0_3,decay_0,decay_1,W_0,W_1,J_0,guessed_decay_0,guessed_decay_1,guessed_W_0,guessed_W_1,guessed_J_0
0.0390625,0.01171875,0.0390625,0.01171875,-0.068359375,-0.1328125,-0.068359375,-0.1328125,3.060022275943538,3.104913278211658,0.7799338456731788,0.0144640626876517,3.4597256768453386,0.31525097917275496,2.236035933295743,-0.14239069523138354,-2.4754209445105047,5.662301894098786
0.08203125,0.203125,0.08203125,0.203125,0.25390625,-0.126953125,0.25390625,-0.126953125,2.9487113448707034,2.8811015064364383,0.9688748465967931,-2.320280561782454,-0.33848961970858077,2.2792391256651596,2.0634236062373175,2.5635717020824123,-1.0633884966490386,-2.8988883504707936
0.197265625,0.14453125,0.197265625,0.14453125,0.0,-0.201171875,0.0,-0.201171875,2.7389643513103947,2.907152822210024,1.3242504554679726,-0.42570215569663233,1.078623213228323,2.8127270979414716,3.2814265902509803,1.9285961343727454,0.05848660073267789,1.6344345708067457e-05
0.234375,0.111328125,0.234375,0.111328125,0.04296875,-0.224609375,0.04296875,-0.224609375,3.1977272525618554,2.9996666039970417,2.5348412948521273,0.0032470887318225396,-1.0646066611358507,2.784718403329608,2.887840809841718,2.2817782892132854,-0.4171874911129945,0.00024119910705916383
0.16015625,0.22265625,0.16015625,0.22265625,0.046875,-0.01953125,0.046875,-0.01953125,3.1750209762966572,3.304646828170502,-0.11964930103065222,-1.1192107434177525,1.0536045251186865,3.03951766153364,3.659997309970472,0.155438123584019,-0.5807953479404955,-2.8527639975912027e-05
-0.048828125,0.060546875,-0.048828125,0.060546875,0.25390625,0.271484375,0.25390625,0.271484375,2.786566713840211,3.1002849488041853,-3.227589657616386,-3.6649730584032882,0.09114136569962038,1.8818656027706981,2.027988261502702,-1.1380848322477843,-1.979586926301885,-3.1096822854194492
0.173828125,0.1484375,0.173828125,0.1484375,0.03125,0.13671875,0.03125,0.13671875,3.2473101686481436,3.0863043053567374,-0.38982835135314264,1.2495017630962293,-2.301380610700131,2.2336021832078354,2.5026587278490577,0.28928355787892723,1.3536315387468434,-3.626355646800091
0.240234375,0.19140625,0.240234375,0.19140625,-0.05078125,0.0390625,-0.05078125,0.0390625,3.2093016016305316,3.0973329169047807,-0.019067821151682925,0.4092534461394419,0.12051253010996531,2.778517360845791,2.3210980933901904,-1.7210500927340973,-0.9370332634961223,2.6809227137590628
-0.0078125,0.20703125,-0.0078125,0.20703125,0.154296875,0.064453125,0.154296875,0.064453125,2.6266739685028915,2.9254340031905803,0.9102800221372171,-1.4591046745413947,-2.785135964462969,3.057979419822173,3.7366074453302063,-0.6007972049286585,-3.248782416663375,8.83395920129526e-05
-0.064453125,-0.013671875,-0.064453125,-0.013671875,-0.052734375,-0.01953125,-0.052734375,-0.01953125,3.014918888612682,2.912642435503409,-0.8591751430685356,1.8040016724509118,-6.792791474197576,5.765910613948049,1.4855149904977458e-19,-2.263356608167162,1.9642708514705156,5.952111057628578
0.080078125,-0.01953125,0.080078125,-0.01953125,0.076171875,0.138671875,0.076171875,0.138671875,2.916934953276915,3.3518342704923105,-1.861444331242023,0.346217576907775,-3.7736743026898747,2.7151333527280963,3.1839895616696836,-5.638535428917414,-3.3472995972186257,3.9964717525093807
0.08203125,0.099609375,0.08203125,0.099609375,-0.17578125,-0.16796875,-0.17578125,-0.16796875,2.8697391503569993,2.7436114450449516,1.5959278398073848,2.0285719699255376,1.2157167101788078,2.669073499555642,2.682536860884984,0.6277037228899958,0.8297420206907427,2.940998771671712
-0.111328125,0.109375,-0.111328125,0.109375,0.0859375,0.01953125,0.0859375,0.01953125,2.8501982449800085,2.8142354205059936,0.7803983096215037,-3.3692990693116522,-3.647060819537396,3.780468119101498,3.34237861315887,-1.7973379265870413,-6.283185307179585,2.7691753742500484
0.17578125,0.255859375,0.17578125,0.255859375,-0.03515625,-0.09375,-0.03515625,-0.09375,2.769205176513333,3.136221491735656,0.7362419651834955,0.5082776784032885,0.34839548107070056,2.333375822076486,3.1711536513408096,-0.3157367215563728,-0.6478801033818278,2.0209080392281993
